,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,makeup-kits,Omuda Fashional Large Nail Clipper,,nan,৳ 230.00,App Price: ৳ 223.00,
1,makeup-kits,Ultrasonic Facial Massager System HKY801 7 in 1,SOLD OUT,nan,৳ 230.00,App Price: ৳ 1358.00,
2,makeup-kits,Keli Travel Container 05 pcs,SOLD OUT,nan,৳ 230.00,App Price: ৳ 359.00,
3,makeup-kits,Gallop Pedicure Set - 3 Steps,SOLD OUT,nan,৳ 230.00,App Price: ৳ 388.00,
4,makeup-kits,Technic Jewellery Cosmetic Case,SOLD OUT,nan,৳ 230.00,App Price: ৳ 3735.00,925gm
5,makeup-kits,Keli Travel Container 06 pcs(Pink),SOLD OUT,nan,৳ 230.00,App Price: ৳ 369.00,
6,makeup-kits,Keli Travel Container 10 pcs,SOLD OUT,nan,৳ 230.00,App Price: ৳ 631.00,
7,makeup-kits,Technic Strobe n Slay Makeup Collection Gift Set,SOLD OUT,nan,৳ 230.00,App Price: ৳ 655.00,
8,makeup-kits,Omuda Fashional Medium Nail Clipper,SOLD OUT,nan,৳ 230.00,App Price: ৳ 155.00,
9,makeup-kits,5 in 1 Groome Facial Cleansing Brush,SOLD OUT,nan,৳ 230.00,App Price: ৳ 485.00,170gm
10,makeup-kits,Technic All About That Face Makeup Kit,SOLD OUT,nan,৳ 230.00,App Price: ৳ 1310.00,
11,makeup-kits,Keli Travel Container 06 pcs(Blue),SOLD OUT,nan,৳ 230.00,App Price: ৳ 369.00,
12,makeup-kits,Omuda Stainless Steel Nail Clipper 1pcs,SOLD OUT,nan,৳ 230.00,App Price: ৳ 243.00,
13,makeup-kits,Groome Facial Mixing Bowl Pink,SOLD OUT,nan,৳ 230.00,App Price: ৳ 272.00,
